condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
generic,gemini_31_pro,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0892,0.9969,3.9437094712523034e-36,26.62
rewrite_only,gpt54,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.6153592544166044,-1.2252325244032474,2.1877833623218686e-50,-8.339749197296511
rewrite_only,gpt54,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.4437197229810836,-0.784832515086093,2.4212071481490887e-36,-5.843421246024718
rewrite_only,gpt54,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2142.58207425077,1.0057019350150718,6.394121473499424e-41,17.142574859452957
rewrite_only,gpt54,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,91.4193,1.2629,3.23131075199767e-45,31.6
rewrite_only,gpt54,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.1866310676901675,0.8889984181198866,1.9776142267813426e-45,4.734614447787302
rewrite_only,gpt54,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.004850672699947,0.9558973548860416,7.070630025820622e-51,2.358058552701734
rewrite_only,gpt54,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,117.76348092967936,-0.6092994159391226,5.609566599122893e-36,-14.15014402756856
rewrite_only,gpt54,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,16.129625300670103,0.06949838989880024,0.0029950275481642323,1.5196146416426515
rewrite_only,gpt54,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.05580444102313325,1.5280739321434054,1.245916128657346e-42,73.71040070428505
rewrite_only,gpt54,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.005783186136596122,0.7261856302178665,9.930187794603508e-22,202.31192683568707
rewrite_only,gpt54,voice_contraction_density,Register,Biber 1988; Heylighen & Dewaele 2002,0.0204,0.0174,-0.2722,1.39330351621674e-06,-14.81
rewrite_only,gpt54,voice_first_person_density,Register,Biber 1988,0.0875,0.0824,-0.4202,2.2597008282072715e-14,-5.88
